RelativePath,HasScaffold,HasListView,HasGridView,HasCarousel,HasLayoutBuilder,HasMediaQuery,HasElectricBorder,HasGlobalShell,HasFixedHeight,HasFixedWidth,MigrationStatus,LayoutSystem
lib\features\trading_hub\arc_raiders\screens\trading_profile_screen.dart,True,True,False,False,True,False,False,False,True,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\screens\trading_trade_sessions_screen.dart,True,True,False,False,True,True,True,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\services\trading_push_service.dart,False,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\session_planner\session_planner_screen.dart,True,True,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\voice\voice_profiles.dart,False,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\widgets\arc_beta_first_run.dart,False,False,False,False,False,False,False,False,False,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\widgets\arc_market_overview_card.dart,False,False,False,False,False,False,False,False,False,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\widgets\arc_profile_status_card.dart,False,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\widgets\arc_raiders_screen_shell.dart,True,True,False,True,False,True,False,True,True,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\widgets\arc_shared_page_ownership.dart,False,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\widgets\arc_systems_page_wrapper.dart,False,False,False,False,False,False,False,False,False,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\widgets\arc_trade_network_panel.dart,False,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\widgets\command_centre\arc_command_centre_content.dart,False,False,False,True,True,False,False,False,True,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\widgets\command_centre\arc_command_centre_widgets.dart,False,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\widgets\foundation\arc_cinematic_scaffold.dart,True,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\widgets\foundation\arc_my_hub_command_header.dart,False,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\widgets\foundation\arc_my_hub_intelligence_feed.dart,False,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\widgets\my_hub_cinematic_background.dart,False,False,False,False,False,False,False,False,True,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\widgets\trading_hub_feature_card.dart,False,False,False,False,False,False,False,False,True,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\trading_hub_screen.dart,False,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
